konum,fiyat,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,ortalama_yakit_tuketimi,yakit_deposu,tramer,degisen,boyali
 Adana,1169000.0,Renault,Megane,1.3 TCe Joy Comfort,2022,124000.0,Otomatik,Benzin,Sedan,1201.0,126.0,Önden Çekiş,5.3,50.0,71300.0,1,0
 Adana,1520000.0,Skoda,Octavia,1.0 e-Tec Elite,2022,99000.0,Otomatik,Hibrit,Sedan,1201.0,101.0,Önden Çekiş,4.3,48.0,56060.0,0,1
 Adana,469999.0,Peugeot,207,1.4 Trendy,2009,207500.0,Düz,LPG & Benzin,Hatchback/5,1360.0,91.0,Önden Çekiş,6.3,50.0,0.0,0,0
 Adana,1150000.0,Audi,A4,A4 Sedan 2.0 TDI Quattro,2013,219000.0,Otomatik,Dizel,Sedan,1801.0,176.0,4WD (Sürekli),5.1,63.0,0.0,1,4
 Adana,1430000.0,Toyota,Corolla,1.5 Dream,2021,63000.0,Otomatik,Benzin,Sedan,1490.0,125.0,Önden Çekiş,5.8,50.0,0.0,0,0
 Adana,375000.0,Peugeot,206,1.6 CC,2003,249000.0,Düz,Benzin,-,1587.0,110.0,Önden Çekiş,6.9,47.0,0.0,0,0
 Adana,456000.0,Peugeot,207,1.4 HDi Trendy,2007,226000.0,Düz,Dizel,Hatchback/3,1398.0,69.0,Önden Çekiş,4.5,50.0,0.0,0,1
 Adana,1465000.0,Toyota,Corolla,1.5 Dream,2021,18000.0,Otomatik,Benzin,Sedan,1401.0,101.0,Önden Çekiş,5.8,50.0,0.0,0,0
 Adana,975000.0,Volkswagen,Golf,1.4 TSi Highline,2013,228000.0,Yarı Otomatik,Benzin,Hatchback/5,1395.0,122.0,Önden Çekiş,5.0,50.0,4.0,1,1
 Adana,814900.0,Fiat,Egea,1.4 Fire Urban Plus,2020,39000.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş,5.7,45.0,0.0,0,0
 Adana,785000.0,Volkswagen,Golf,1.4 TSi Trendline,2011,245000.0,Düz,LPG & Benzin,Hatchback/5,1390.0,122.0,Önden Çekiş,6.2,55.0,0.0,1,0
 Adana,352500.0,Honda,Civic,1.4 i S,1999,325000.0,Düz,Benzin,Sedan,1396.0,90.0,Önden Çekiş,6.8,45.0,0.0,1,0
 Adana,1115000.0,BMW,3 Serisi,320i ED M Plus,2014,238000.0,Otomatik,Benzin,Sedan,1598.0,170.0,Arkadan İtiş,5.3,60.0,0.0,0,0
 Adana,1385000.0,Renault,Clio,1.0 TCe Techno Esprit Alpine,2024,9200.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,6.0,42.0,0.0,0,0
 Adana,1580000.0,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2019,83000.0,Otomatik,Dizel,Hatchback/5,1401.0,101.0,Önden Çekiş,3.9,50.0,0.0,0,0
 Adana,1069500.0,BMW,3 Serisi,320d Techno Plus,2012,297000.0,Otomatik,Dizel,Sedan,1995.0,184.0,Arkadan İtiş,4.4,57.0,40.0,0,0
 Adana,585000.0,Renault,Symbol,1.5 dCi Joy,2015,250000.0,Düz,Dizel,Sedan,1461.0,90.0,Önden Çekiş,3.9,50.0,0.0,1,3
 Adana,1235000.0,BMW,3 Serisi,320i ED M Plus,2016,230000.0,Otomatik,Benzin,Sedan,1401.0,151.0,Arkadan İtiş,5.3,60.0,74940.0,3,1
 Adana,246900.0,Peugeot,106,GTI,1998,250000.0,Düz,Benzin,Hatchback/3,1587.0,120.0,Önden Çekiş,8.1,45.0,0.0,0,0
 Adana,585000.0,Ford,Focus,1.6 TDCi Trend,2009,237000.0,Düz,Dizel,Sedan,1560.0,110.0,Önden Çekiş,4.5,55.0,0.0,0,4
